name,confirmed
CENTRO,19243
INGLESES,14692
PRAIA BRAVA,178
VARGEM DO BOM JESUS,604
ITACORUBI,7411
SANTA MONICA,1148
TRINDADE,7471
ESTREITO,4927
AGRONOMICA,7510
DANIELA,322
SACO GRANDE,5672
MONTE VERDE,3107
RIO VERMELHO,1715
CANASVIEIRAS,4735
CORREGO GRANDE,3325
COQUEIROS,5053
TAPERA,5713
MONTE CRISTO,5869
ABRAAO,3057
CAMPECHE,8410
RIO TAVARES,4112
JURERE,1874
JURERE INTERNACIONAL,886
LAGOA DA CONCEICAO,5314
COLONINHA,2404
SACO DOS LIMOES,5115
CARIANOS,3701
BALNEARIO,2767
CAPOEIRAS,8027
COSTEIRA,2
CARVOEIRA,271
PANTANAL,2654
JOAO PAULO,2058
MORRO DAS PEDRAS,1407
BARRA DA LAGOA,2487
BOM ABRIGO,556
SANTO ANTONIO DE LISBOA,1725
RIBEIRAO,2
JARDIM ATLANTICO,5106
ITAGUACU,954
CACHOEIRA DO BOM JESUS,4070
JOSE MENDES,1255
ARMACAO,1359
PONTA DAS CANAS,1382
VARGEM GRANDE,2048
RATONES,1375
CANTO (CONTINENTE),1830
PANTANO DO SUL,2001
RIBEIRAO DA ILHA,3049
VARGEM PEQUENA,553
COSTA,35
